民國107年第4季,民國107年第4季,民國107年第4季,民國107年第4季,民國107年第4季,民國107年第4季,民國107年第4季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,107年12月31日,107年12月31日,106年12月31日,106年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3,Unnamed: 6_level_3
流動資產,,,,,,
現金及約當現金,48507889.0,14.1,26331218.0,9.66,,
透過損益按公允價值衡量之金融資產－流動,549838.0,0.16,147049.0,0.05,,
透過其他綜合損益按公允價值衡量之金融資產－流動,6334259.0,1.84,0.0,0.0,,
備供出售金融資產－流動淨額,0.0,0.0,25101220.0,9.21,,
按攤銷後成本衡量之金融資產－流動淨額,2664157.0,0.77,0.0,0.0,,
應收票據淨額,29748544.0,8.65,20003996.0,7.34,,
應收帳款淨額,8216174.0,2.39,7072466.0,2.59,,
應收帳款－關係人淨額,271618.0,0.08,229702.0,0.08,,
其他應收款淨額,955814.0,0.28,751932.0,0.28,,
存貨,9464303.0,2.75,8354522.0,3.07,,
預付款項,3034021.0,0.88,2914701.0,1.07,,
其他流動資產,634078.0,0.18,1813108.0,0.67,,
流動資產合計,110380695.0,32.08,92719914.0,34.02,,
非流動資產,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,25792169.0,7.5,0.0,0.0,,
備供出售金融資產－非流動淨額,0.0,0.0,3455938.0,1.27,,
以成本衡量之金融資產－非流動淨額,0.0,0.0,582819.0,0.21,,
採用權益法之投資淨額,46247974.0,13.44,7940701.0,2.91,,
不動產、廠房及設備,91093825.0,26.47,94709404.0,34.75,,
投資性不動產淨額,6344460.0,1.84,6374920.0,2.34,,
無形資產,20427352.0,5.94,20852624.0,7.65,,
其他非流動資產,43798643.0,12.73,45920729.0,16.85,,
非流動資產合計,233704423.0,67.92,179837135.0,65.98,,
資產總額,344085118.0,100.0,272557049.0,100.0,,
流動負債,,,,,,
短期借款,26226051.0,7.62,20314112.0,7.45,,
應付短期票券,7402214.0,2.15,7991417.0,2.93,,
透過損益按公允價值衡量之金融負債－流動,139460.0,0.04,0.0,0.0,,
合約負債－流動,5114644.0,1.49,0.0,0.0,,
應付帳款,7808921.0,2.27,7789179.0,2.86,,
其他應付款,11683170.0,3.4,8839408.0,3.24,,
本期所得稅負債,4090640.0,1.19,1651042.0,0.61,,
其他流動負債,2038744.0,0.59,18607802.0,6.83,,
流動負債合計,64503844.0,18.75,65192960.0,23.92,,
非流動負債,,,,,,
應付公司債,22777693.0,6.62,0.0,0.0,,
長期借款,24631973.0,7.16,43494968.0,15.96,,
遞延所得稅負債,11326154.0,3.29,10397776.0,3.81,,
其他非流動負債,23465998.0,6.82,824129.0,0.3,,
非流動負債合計,82201818.0,23.89,54716873.0,20.08,,
負債總額,146705662.0,42.64,119909833.0,43.99,,
歸屬於母公司業主之權益,,,,,,
股本,,,,,,
普通股股本,53080599.0,15.43,42465090.0,15.58,,
股本合計,53080599.0,15.43,42465090.0,15.58,,
資本公積,,,,,,
資本公積合計,47836241.0,13.9,25739065.0,9.44,,
保留盈餘,,,,,,
保留盈餘合計,61588761.0,17.9,49019510.0,17.99,,
其他權益,,,,,,
其他權益合計,19038454.0,5.53,19124539.0,7.02,,
庫藏股票,-2545.0,0.0,0.0,0.0,,
歸屬於母公司業主之權益合計,181541510.0,52.76,136348204.0,50.03,,
非控制權益,15837946.0,4.6,16299012.0,5.98,,
權益總額,197379456.0,57.36,152647216.0,56.01,,
負債及權益總計,344085118.0,100.0,272557049.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,70000.0,,0.0,,,
